NAMA SEKOLAH ,Y,Z
SMP TAMAN SISWA T.BETUNG,-5.444490599,105.2661739
SMAN 4 BANDAR LAMPUNG,-5.435295891,105.2699449
SMAS IMMANUEL BANDAR LAMPUNG,-5.42946539,105.2637543
SMAS MUHAMMADIYAH 1,-5.431081535,105.2525059
SMAS TAMAN SISWA TELUK BETUNG UTARA,-5.444534778,105.2662552
SMKN 3 BANDAR LAMPUNG,-5.43437673,105.2607179
SMKS GUNA DHARMA BANDAR LAMPUNG,-5.437302839,105.2599154
SMKS MUHAMMADIYAH 1 BANDAR LAMPUNG,-5.425580305,105.2506506
SMKS SATU NUSA 1 BANDAR LAMPUNG,-5.435029952,105.2613786
SMKS SATU NUSA 2 BANDAR LAMPUNG ,-5.435029952,105.2613786
SMKS SATU NUSA 3 BANDAR LAMPUNG ,-5.435029952,105.2613786
SMKS TAMAN SISWA TELUK BETUNG ,-5.444796985,105.2660389
SDN 1 KARANG MARITIM,-5.479289281,105.3249842
SDN 1 KETAPANG ,-5.435024812,105.2951166
SDN 1 PANJANG SELATAN,-5.478805121,105.3245243
SDN 1 PANJANG UTARA ,-5.473594721,105.321229
SDN 1 SRENGSEM,-5.497016482,105.3308884
SDN 1 WAY LUNIK,-5.450761227,105.3083157
SDN 2 PANJANG UTARA ,-5.474800259,105.3210846
SDN 2 WAY LUNIK,-5.4458015,105.3082785
SDN 3 PANJANG UTARA,-5.473496677,105.3210141
SDN 4 WAY LAGA,-5.461788008,105.3217806
SD DWI WARNA ,-5.462503187,105.3201243
SD MUHAMMADIYAH 3 PANJANG,-5.483271606,105.324722
SD SWASTA MY DOLPHIN CHRISTIAN SCHOOL,-5.480093717,105.3223834
SD XAVERIUS 2 BANDAR LAMPUNG,-5.479980312,105.324536
SDN 1 WAY GUBAG ,-5.423566143,105.3068513
SDN 2 WAY GUBAG ,-5.436940043,105.3158986
SDN 1 WAY LAGA ,-5.434435816,105.3268881
SDN 3 WAY LAGA ,-5.434183694,105.3361624
SMPN 11 BANDAR LMAPUNG ,-5.43571033,105.2956297
SMPN 30 BANDAR LAMPUNG ,-5.49417175,105.3307289
SMPN 37 BANDAR LAMPUNG ,-5.436053014,105.2960097
SMPN 41 BANDAR LAMPUNG ,-5.47959512,105.3245872
SMP DHARMAPALA,-5.483656361,105.3243049
SMP MUH. 5 BANDAR LAMPUNG ,-5.483276282,105.3246641
SMP XAVERIUS 3 BANDAR LMAPUNG ,-5.479959883,105.3247808
SMP YPPL PANAJNG ,-5.48340163,105.3239107
SMPN 39 BANDAR LAMPUNG ,-5.452323136,105.3144209
